slno	concept_id	concepticon_id	concepticon_name	name	gloss	concept	stage	comment	category	definition	japanese	hindi	assamese	mandarin	burmese	nagamese	SILCAWL	CALMSEA
1005	0000.:zero	1294	ZERO	zero	zero	ᴢᴇʀᴏ	5		numbers	The number representing nothing or the absence of any quantity.	零	शून्य	শূন্য	零	သုည			
61	0001.:one	1493	ONE	one	one	ᴏɴᴇ	2		numbers	The number that comes after zero and before two.	一	एक	এক	一	တစ်		one (person)	one
97	0002.:two	1498	TWO	two	two	ᴛᴡᴏ	2		numbers	The number that comes after one and before three.	二	दो	দুই	二	နှစ်		two (persons)	two
76	0003.:three	492	THREE	three	three	ᴛʜʀᴇᴇ	2		numbers	The number that comes after two and before four.	三	तीन	তিনি	三	သုံး		three (persons)	three
54	0004.:four	1500	FOUR	four	four	ꜰᴏᴜʀ	2		numbers	The number that comes after three and before five.	四	चार	চাৰি	四	လေး		four (persons)	four
53	0005.:five	493	FIVE	five	five	ꜰɪᴠᴇ	2		numbers	The number that comes after four and before six.	五	पांच	পাঁচ	五	ငါး		five (persons)	five
68	0006.:six	1703	SIX	six	six	ꜱɪx	2		numbers	The number that comes after five and before seven.	六	छह	ছয়	六	ခြောက်		six (persons)	six
67	0007.:seven	1704	SEVEN	seven	seven	ꜱᴇᴠᴇɴ	2		numbers	The number that comes after six and before eight.	七	सात	সাত	七	ခုနစ်		seven (persons)	seven
50	0008.:eight	1705	EIGHT	eight	eight	ᴇɪɢʜᴛ	2		numbers	The number that comes after seven and before nine.	八	आठ	আঠ	八	ရှစ်		weight	eight
59	0009.:nine	1483	NINE	nine	nine	ɴɪɴᴇ	2		numbers	The number that comes after eight and before ten.	九	नौ	নৱ	九	ကိုး		nine (persons)	nine
19	0010.:ten	1515	TEN	ten	ten	ᴛᴇɴ	1		numbers	The number that comes after nine and before eleven.	十	दस	দহ	十	တစ်ဆယ်		ten (persons)	ten
581	0011.:eleven	1706	ELEVEN	eleven	eleven	ᴇʟᴇᴠᴇɴ	5		numbers	The number that comes after ten and before twelve.	十一			十一	တစ်ဆယ့်တစ်		eleven (11)	
980	0012.:twelve	1707	TWELVE	twelve	twelve	ᴛᴡᴇʟᴠᴇ	5		numbers	The number that comes after eleven and before thirteen.	十二			十二	တစ်ဆယ့်နှစ်		twelve (12)	
776	0013.:thirteen	1708	THIRTEEN	thirteen	thirteen	ᴛʜɪʀᴛᴇᴇɴ	5		numbers	The number that comes after twelve and before fourteen.	十三			十三	တစ်ဆယ့်သုံး		thirteen (13)	
605	0014.:fourteen	2451	FOURTEEN	fourteen	fourteen	ꜰᴏᴜʀᴛᴇᴇɴ	5		numbers	The number that comes after thirteen and before fifteen.	十四			十四	တစ်ဆယ့်လေး		fourteen (14)	
589	0015.:fifteen	1709	FIFTEEN	fifteen	fifteen	ꜰɪꜰᴛᴇᴇɴ	5		numbers	The number that comes after fourteen and before sixteen.	十五			十五	တစ်ဆယ့်ငါး		fifteen (15)	
743	0016.:sixteen	2454	SIXTEEN	sixteen	sixteen	ꜱɪxᴛᴇᴇɴ	5		numbers	The number that comes after fifteen and before seventeen.	十六			十六	တစ်ဆယ့်ခြောက်		sixteen (16)	
734	0017.:seventeen	2453	SEVENTEEN	seventeen	seventeen	ꜱᴇᴠᴇɴᴛᴇᴇɴ	5		numbers	The number that comes after sixteen and before eighteen.	十七			十七	တစ်ဆယ့်ခုနစ်		seventeen (17)	
579	0018.:eighteen	1713	EIGHTEEN	eighteen	eighteen	ᴇɪɢʜᴛᴇᴇɴ	5		numbers	The number that comes after seventeen and before nineteen.	十八			十八	တစ်ဆယ့်ရှစ်		eighteen (18)	
677	0019.:nineteen	1714	NINETEEN	nineteen	nineteen	ɴɪɴᴇᴛᴇᴇɴ	5		numbers	The number that comes after eighteen and before twenty.	十九			十九	တစ်ဆယ့်ကိုး		nineteen (19)	
345	0020.:twenty	1710	TWENTY	twenty	twenty	ᴛᴡᴇɴᴛʏ	3		numbers	The number that comes after nineteen and before twenty-one.	二十	बीस	বিশ	二十	နှစ်ဆယ်		twenty (persons)	twenty/score
1123	0021.:twenty.one	1734	TWENTY ONE	twenty one	twenty.one	ᴛᴡᴇɴᴛʏ.ᴏɴᴇ	6			The number that is one more than twenty.	二十一			二十一				
